year,安徽,北京,福建,甘肃,广东,广西,贵州,海南,河北,河南,黑龙江,湖北,湖南,吉林,江苏,江西,辽宁,内蒙古,宁夏,青海,山东,山西,陕西,上海,四川,天津,新疆,云南,浙江,重庆,全国碳排放量
2010,374.0913965,105.0396713,202.1780624,226.5482576,512.9888798,256.8819755,319.8337061,4.859158062,675.3565701,565.0267024,268.4771953,301.0544093,264.8549099,241.413797,715.69789,195.0914417,438.3342097,620.3108759,125.4412627,16.74690115,910.2042506,407.9181811,303.2602653,195.503096,266.0570764,139.1524999,231.9288766,149.2384149,394.2280262,145.4157212,9573.133681
2011,438.6061454,95.31082402,231.8131296,249.7906047,557.6922133,248.4905899,329.859426,4.517374427,829.026251,667.7304145,265.8735357,394.7470615,268.8806799,210.9973816,806.5430208,250.7200673,457.059483,668.6017843,155.2213098,21.58602981,955.886457,453.0349979,329.5655596,201.4947564,350.5824681,154.2893913,354.4746185,163.7998514,444.3588968,166.6056681,10727.15999
2012,475.6846321,97.99804428,232.6965813,258.6543583,545.5917272,225.1571308,350.0854112,4.424741741,851.1599393,680.97875,250.7164533,338.2730335,271.5684817,212.1924114,825.3843313,223.2297679,466.5551589,749.4390603,161.5325391,25.96257528,958.9889439,451.4252756,392.1518278,195.9264595,344.9954833,160.3253608,416.0947216,169.4800057,442.0167812,171.6458367,10950.33583
2013,506.9108811,94.07097644,247.1765328,239.3559829,558.0168522,310.7755391,361.7201541,4.975349975,866.8657659,652.9457843,251.1393441,401.513893,288.6358976,277.2064994,893.7752511,245.2863309,482.6215578,765.673092,178.3468256,27.75087263,968.6161931,452.7528785,504.9162997,207.6336928,326.9818735,159.6514739,415.4421853,176.9590597,432.7882509,149.1216018,11449.62689
2014,527.0103251,93.25544947,254.9336532,250.1260733,603.7245742,311.4498719,370.3166046,5.392749617,788.4344942,642.6288373,240.2975899,356.2799858,305.6136855,244.7316325,899.9131748,240.1355633,497.800181,783.4123925,185.3171452,26.50400319,1045.932439,482.4425414,484.537792,194.2200151,374.4149261,158.1051713,475.1728456,147.658429,432.0079532,162.8967795,11584.66688
2015,523.3976471,92.76299625,240.7311446,244.947553,605.7341771,390.2296162,368.2403023,5.129297569,765.1938384,573.6096797,275.5620592,357.8849591,347.9953312,235.1746209,953.91256,252.0928654,412.405636,827.2705389,214.9046477,24.02961253,1014.998809,484.9651266,571.2067661,195.3238483,359.1488556,154.3530913,494.2515881,161.705509,435.164488,164.1966851,11746.52385
2016,542.1837252,89.98180725,228.1679103,368.2949472,678.7480163,452.7259584,343.5639284,4.09459637,791.3693491,667.8039819,279.7100998,350.0184573,346.6462623,268.6592931,901.2603532,262.0463803,481.5053028,769.4806108,176.3646101,42.26130614,1177.778859,472.2079998,620.3130406,194.7098509,303.9650572,148.9459324,586.8558209,139.5393897,433.8236961,156.5819749,12279.60852
2017,652.268706,85.56048441,425.222201,447.4718222,1124.22055,489.1897353,336.5193986,5.140423042,880.401911,740.3156347,406.7993076,555.7289675,409.9885,320.3680794,953.6946658,304.8370617,505.9692529,809.7295415,199.2639631,49.71909135,1094.413296,546.8441837,819.8817071,196.153572,451.0370531,143.991043,680.4375182,196.3652715,450.4736311,160.5497632,14442.55634
2018,518.6771136,88.4090731,277.2593756,328.2913071,718.58657,502.8784627,316.9321317,5.36425818,924.9937832,625.7434312,462.8022802,513.9104391,444.0113939,388.2189093,873.2407896,368.7151249,548.3293514,916.8892644,244.6166027,46.0600515,980.6407227,496.3832262,635.5823,190.6416671,354.078685,154.3368032,663.3129249,151.7810156,476.0084571,160.6043217,13377.29984
2019,538.6095084,88.15542679,294.9434606,441.446379,730.6048308,594.9633151,275.9952389,5.93153909,1013.758983,647.4792287,496.8129107,508.0868011,537.774546,431.3266925,911.4365136,442.5592148,539.0592045,1022.013395,296.6105216,49.91713289,1055.650165,483.5276628,766.2111467,192.9122403,434.3828661,158.4665347,719.5863935,194.6601728,468.2075302,156.254681,14497.34424
