epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,307.476,0.49387,0.39735,1.01596,0.96273,0.92264,0.95893,0.79428,0.50051,0.50827,1.03219,0.00182378,0.00182378,0.00182378
91,310.784,0.48631,0.37417,1.01171,0.97946,0.92857,0.9607,0.83916,0.45937,0.36281,0.97248,0.0018218,0.0018218,0.0018218
92,314.083,0.48268,0.39123,1.00497,0.9768,0.94643,0.94739,0.85684,0.42565,0.3333,0.91355,0.00181982,0.00181982,0.00181982
93,317.346,0.45846,0.37998,0.98601,0.97892,0.94643,0.95426,0.8631,0.41921,0.37129,0.91211,0.00181784,0.00181784,0.00181784
94,320.65,0.50857,0.41604,1.02311,0.96238,0.94643,0.9531,0.85523,0.39139,0.41414,0.91012,0.00181586,0.00181586,0.00181586
95,323.95,0.47076,0.37482,1.01531,0.94558,0.93087,0.95828,0.87287,0.36106,0.4639,0.9052,0.00181388,0.00181388,0.00181388
96,327.346,0.50985,0.40269,1.0127,0.86666,0.94643,0.9381,0.82849,0.39122,0.42255,0.92802,0.0018119,0.0018119,0.0018119
97,330.774,0.48083,0.39286,1.00576,0.92926,0.85714,0.93729,0.83202,0.44091,0.3955,0.94211,0.00180992,0.00180992,0.00180992
98,334.14,0.4878,0.38679,0.99912,0.92843,0.94643,0.95197,0.85002,0.38441,0.375,0.91568,0.00180794,0.00180794,0.00180794
99,337.455,0.47138,0.38123,1.00588,0.96423,0.96271,0.96639,0.87703,0.38087,0.30911,0.90831,0.00180596,0.00180596,0.00180596
100,340.821,0.48038,0.37002,0.99635,0.96009,0.94643,0.9639,0.82572,0.41559,0.33516,0.9276,0.00180398,0.00180398,0.00180398
101,344.099,0.46493,0.38358,0.98516,0.96289,0.92669,0.96095,0.85294,0.43028,0.37938,0.934,0.001802,0.001802,0.001802
102,347.391,0.4831,0.39245,0.994,0.96356,0.94452,0.96796,0.88254,0.39783,0.32267,0.92485,0.00180002,0.00180002,0.00180002
103,350.68,0.43426,0.34249,0.97996,0.96415,0.96056,0.96454,0.86524,0.40773,0.31748,0.92019,0.00179804,0.00179804,0.00179804
104,354.14,0.45453,0.37194,0.98858,0.94534,0.92661,0.94684,0.82823,0.48287,0.37075,0.97317,0.00179606,0.00179606,0.00179606
105,357.454,0.44457,0.35778,0.98588,0.94437,0.90945,0.95352,0.83943,0.46168,0.36779,0.97143,0.00179408,0.00179408,0.00179408
106,360.813,0.45788,0.37998,1.00208,0.89323,0.92857,0.95022,0.85396,0.41931,0.36135,0.91775,0.0017921,0.0017921,0.0017921
107,364.116,0.43723,0.36314,0.96227,0.94525,0.92488,0.96047,0.85702,0.39582,0.39715,0.93055,0.00179012,0.00179012,0.00179012
108,367.469,0.48622,0.38501,0.99162,0.94461,0.91357,0.95947,0.86495,0.39364,0.34159,0.92065,0.00178814,0.00178814,0.00178814
109,370.801,0.47944,0.37761,1.00744,0.96206,0.94643,0.9583,0.87458,0.37216,0.30454,0.9054,0.00178616,0.00178616,0.00178616
110,374.146,0.50295,0.38742,1.01764,0.98464,0.89286,0.95664,0.86859,0.39495,0.36937,0.91028,0.00178418,0.00178418,0.00178418
111,377.574,0.48424,0.37128,1.00902,0.98142,0.9434,0.95472,0.85393,0.41577,0.34727,0.9188,0.0017822,0.0017822,0.0017822
112,380.959,0.48887,0.37807,1.00517,0.94414,0.94643,0.94879,0.86227,0.38333,0.32514,0.91103,0.00178022,0.00178022,0.00178022
113,384.279,0.47992,0.37485,0.99695,0.92532,0.94643,0.94229,0.85224,0.36434,0.29974,0.90836,0.00177824,0.00177824,0.00177824
